CityID,lat,long,coordinates,full_name
4001,32.45357132,-99.73264313,[ 32.45357 -99.73264],"Abilene, TX"
4002,41.08481979,-81.51560974,[ 41.08482 -81.51561],"Akron, OH"
4003,42.65172577,-73.75509644,[ 42.651726 -73.7551  ],"Albany, NY"
4004,35.08424759,-106.64923859,[  35.084248 -106.64924 ],"Albuquerque, NM"
4005,40.60275269,-75.46975708,[ 40.602753 -75.46976 ],"Allentown, PA"
4006,42.02680206,-93.62017822,[ 42.026802 -93.62018 ],"Ames, IA"
4007,42.3758049,-72.51987457,[ 42.375805 -72.519875],"Amherst, MA"
4008,33.83449173,-117.91564178,[  33.83449 -117.91564],"Anaheim, CA"
4009,61.21658325,-149.89959717,[  61.216583 -149.8996  ],"Anchorage, AK"
4010,42.28141785,-83.74847412,[ 42.281418 -83.748474],"Ann Arbor, MI"
4011,38.97829056,-76.49568176,[ 38.97829 -76.49568],"Annapolis, MD"
4012,32.7355957,-97.10710907,[ 32.735596 -97.10711 ],"Arlington, TX"
4013,35.59591293,-82.5500412,[ 35.595913 -82.55004 ],"Asheville, NC"
4014,33.95741272,-83.37680054,[ 33.957413 -83.3768  ],"Athens, GA"
4015,39.32920074,-82.10116577,[ 39.3292   -82.101166],"Athens, OH"
4016,33.7485466,-84.39150238,[ 33.748547 -84.3915  ],"Atlanta, GA"
4017,39.36061096,-74.43187714,[ 39.36061 -74.43188],"Atlantic City, NJ"
4018,32.60907745,-85.4817276,[ 32.609077 -85.48173 ],"Auburn, AL"
4019,42.67032242,-83.22225952,[ 42.670322 -83.22226 ],"Auburn Hills, MI"
4020,30.26497841,-97.74659729,[ 30.264978 -97.7466  ],"Austin, TX"
4021,35.37340546,-119.01891327,[  35.373405 -119.01891 ],"Bakersfield, CA"
4022,39.29044342,-76.61233521,[ 39.290443 -76.612335],"Baltimore, MD"
4023,44.80160141,-68.77133179,[ 44.8016  -68.77133],"Bangor, ME"
4024,30.44949341,-91.09339905,[ 30.449493 -91.0934  ],"Baton Rouge, LA"
4025,18.39884758,-66.1582489,[ 18.398848 -66.15825 ],"Bayamon, PR"
4026,30.08615303,-94.10201263,[ 30.086153 -94.10201 ],"Beaumont, TX"
4027,37.8690567,-122.27046204,[  37.869057 -122.27046 ],"Berkeley, CA"
